Date;EURO
2005-01-02;4,99633
2005-01-09;4,88838
2005-01-16;5,05991
2005-01-23;5,07324
2005-01-30;5,19371
2005-02-06;5,13503
2005-02-13;5,42557
2005-02-20;5,61781
2005-02-27;5,50551
2005-03-06;5,46702
2005-03-13;5,52863
2005-03-20;5,5123
2005-03-27;5,33872
2005-04-03;5,48225
2005-04-10;5,47721
2005-04-17;5,46376
2005-04-24;5,53685
2005-05-01;5,38747
2005-05-08;5,42824
2005-05-15;5,44778
2005-05-22;5,62243
2005-05-29;5,7209
2005-06-05;6,12444
2005-06-12;5,91697
2005-06-19;6,07592
2005-06-26;6,03313
2005-07-03;5,80741
2005-07-10;5,83011
2005-07-17;5,76144
2005-07-24;5,85549
2005-07-31;5,90887
2005-08-07;5,82727
2005-08-14;5,75658
2005-08-21;5,74302
2005-08-28;5,56504
2005-09-04;5,59362
2005-09-11;5,63579
2005-09-18;5,77865
2005-09-25;6,01733
2005-10-02;6,24637
2005-10-09;6,2716
2005-10-16;6,397
2005-10-23;6,32806
2005-10-30;6,41152
2005-11-06;6,33012
2005-11-13;6,58469
2005-11-20;6,94053
2005-11-27;6,97872
2005-12-04;7,29113
2005-12-11;7,59912
2005-12-18;7,18218
2005-12-25;7,173
2006-01-01;7,46155
2006-01-08;7,30054
2006-01-15;7,47098
2006-01-22;7,52278
2006-01-29;7,95893
2006-02-05;8,13096
2006-02-12;7,97495
2006-02-19;7,96632
2006-02-26;8,01681
2006-03-05;8,53577
2006-03-12;8,26762
2006-03-19;8,50985
2006-03-26;8,92603
2006-04-02;9,71889
2006-04-09;9,97949
2006-04-16;10,4215
2006-04-23;9,89444
2006-04-30;10,004
2006-05-07;11,0875
2006-05-14;11,559
2006-05-21;9,73375
2006-05-28;9,9064
2006-06-04;9,48552
2006-06-11;9,00908
2006-06-18;8,12199
2006-06-25;8,04625
2006-07-02;8,41526
2006-07-09;9,00626
2006-07-16;9,17916
2006-07-23;8,68502
2006-07-30;8,95028
2006-08-06;9,5387
2006-08-13;9,60861
2006-08-20;9,36453
2006-08-27;9,71026
2006-09-03;9,94928
2006-09-10;9,66955
2006-09-17;8,43649
2006-09-24;8,79876
2006-10-01;9,11602
2006-10-08;8,68297
2006-10-15;9,08367
2006-10-22;9,5004
2006-10-29;9,50315
2006-11-05;9,8748
2006-11-12;10,1141
2006-11-19;9,98434
2006-11-26;10,2062
2006-12-03;10,4607
2006-12-10;10,4217
2006-12-17;10,4689
2006-12-24;9,47185
2006-12-31;9,78756
2007-01-07;9,70206
2007-01-14;9,63193
2007-01-21;9,81481
2007-01-28;10,2481
2007-02-04;10,4899
2007-02-11;10,6462
2007-02-18;10,5905
2007-02-25;10,8883
2007-03-04;10,2812
2007-03-11;9,93841
2007-03-18;9,80495
2007-03-25;10,0413
2007-04-01;10,0338
2007-04-08;10,1571
2007-04-15;10,2473
2007-04-22;10,1948
2007-04-29;9,78739
2007-05-06;9,87909
2007-05-13;9,67359
2007-05-20;9,55173
2007-05-27;9,61682
2007-06-03;10,0707
2007-06-10;9,97751
2007-06-17;9,81217
2007-06-24;9,79523
2007-07-01;9,28889
2007-07-08;9,12167
2007-07-15;9,53367
2007-07-22;9,63882
2007-07-29;9,34066
2007-08-05;9,46331
2007-08-12;9,2933
2007-08-19;8,69145
2007-08-26;8,59852
2007-09-02;8,74497
2007-09-09;9,18188
2007-09-16;9,00901
2007-09-23;9,58378
2007-09-30;9,62284
2007-10-07;9,5115
2007-10-14;9,72154
2007-10-21;9,68148
2007-10-28;9,79123
2007-11-04;9,88609
2007-11-11;10,3272
2007-11-18;9,90065
2007-11-25;9,82113
2007-12-02;9,63962
2007-12-09;9,85666
2007-12-16;9,66207
2007-12-23;9,93875
2007-12-30;10,034
2008-01-06;10,3806
2008-01-13;10,866
2008-01-20;10,8043
2008-01-27;11,2411
2008-02-03;11,5369
2008-02-10;11,7058
2008-02-17;11,8352
2008-02-24;12,0947
2008-03-02;12,9164
2008-03-09;13,1128
2008-03-16;13,1203
2008-03-23;11,3477
2008-03-30;11,5982
2008-04-06;11,0935
2008-04-13;11,3536
2008-04-20;11,4809
2008-04-27;10,6923
2008-05-04;10,4722
2008-05-11;10,9803
2008-05-18;10,8862
2008-05-25;11,5067
2008-06-01;10,864
2008-06-08;11,0263
2008-06-15;10,6497
2008-06-22;11,1687
2008-06-29;11,0476
2008-07-06;11,486
2008-07-13;11,6256
2008-07-20;11,7035
2008-07-27;11,1499
2008-08-03;11,301
2008-08-10;10,4198
2008-08-17;8,7122
2008-08-24;9,16863
2008-08-31;9,34592
2008-09-07;8,95459
2008-09-14;7,65957
2008-09-21;8,52931
2008-09-28;9,0274
2008-10-05;8,07207
2008-10-12;8,66421
2008-10-19;7,12901
2008-10-26;7,05602
2008-11-02;7,287
2008-11-09;7,92955
2008-11-16;7,34068
2008-11-23;7,29225
2008-11-30;7,91243
2008-12-07;7,46057
2008-12-14;7,55439
2008-12-21;7,6101
2008-12-28;7,34371
2009-01-04;7,94835
2009-01-11;8,18082
2009-01-18;8,11441
2009-01-25;8,95662
2009-02-01;9,76352
2009-02-08;10,0703
2009-02-15;10,3966
2009-02-22;11,293
2009-03-01;10,4344
2009-03-08;10,611
2009-03-15;10,1746
2009-03-22;10,0515
2009-03-29;9,92865
2009-04-05;9,57914
2009-04-12;9,26205
2009-04-19;9,16673
2009-04-26;9,64892
2009-05-03;9,15254
2009-05-10;10,3654
2009-05-17;10,2731
2009-05-24;10,4939
2009-05-31;11,0032
2009-06-07;11,0406
2009-06-14;10,7374
2009-06-21;10,2044
2009-06-28;10,1264
2009-07-05;9,60343
2009-07-12;9,0798
2009-07-19;9,33996
2009-07-26;9,67697
2009-08-02;9,64273
2009-08-09;10,2019
2009-08-16;10,4939
2009-08-23;9,77669
2009-08-30;10,1218
2009-09-06;11,1773
2009-09-13;11,5622
2009-09-20;11,6315
2009-09-27;11,0279
2009-10-04;11,1524
2009-10-11;11,9444
2009-10-18;11,6174
2009-10-25;11,7354
2009-11-01;11,1922
2009-11-08;11,7815
2009-11-15;11,6336
2009-11-22;12,2465
2009-11-29;12,0639
2009-12-06;12,495
2009-12-13;11,8591
2009-12-20;12,0451
2009-12-27;12,0278
2010-01-03;11,7986
2010-01-10;12,6713
2010-01-17;12,8718
2010-01-24;12,2423
2010-01-31;11,6691
2010-02-07;11,0649
2010-02-14;11,3128
2010-02-21;11,8139
2010-02-28;11,8616
2010-03-07;12,7025
2010-03-14;12,5571
2010-03-21;12,7608
2010-03-28;12,5887
2010-04-04;13,1086
2010-04-11;13,6804
2010-04-18;13,5574
2010-04-25;13,4511
2010-05-02;13,9842
2010-05-09;13,8606
2010-05-16;15,7435
2010-05-23;14,159
2010-05-30;14,9255
2010-06-06;14,5933
2010-06-13;15,0948
2010-06-20;15,1738
2010-06-27;15,1873
2010-07-04;14,3645
2010-07-11;14,1064
2010-07-18;14,0818
2010-07-25;14,0417
2010-08-01;13,5846
2010-08-08;13,9005
2010-08-15;14,1105
2010-08-22;14,2835
2010-08-29;14,9572
2010-09-05;15,3115
2010-09-12;15,6324
2010-09-19;15,9245
2010-09-26;15,921
2010-10-03;15,9927
2010-10-10;16,1167
2010-10-17;17,3499
2010-10-24;16,5672
2010-10-31;17,2909
2010-11-07;18,5101
2010-11-14;19,569
2010-11-21;19,7303
2010-11-28;20,1392
2010-12-05;21,6791
2010-12-12;21,7447
2010-12-19;21,6798
2010-12-26;22,157
2011-01-02;22,877
2011-01-09;21,8805
2011-01-16;21,3793
2011-01-23;20,0963
2011-01-30;19,439
2011-02-06;21,2106
2011-02-13;22,1893
2011-02-20;23,5633
2011-02-27;23,5883
2011-03-06;24,6369
2011-03-13;24,755
2011-03-20;24,8762
2011-03-27;26,6196
2011-04-03;26,5936
2011-04-10;27,9015
2011-04-17;29,4736
2011-04-24;31,6524
2011-05-01;32,8832
2011-05-08;23,5294
2011-05-15;25,3484
2011-05-22;24,4296
2011-05-29;26,4956
2011-06-05;24,2773
2011-06-12;25,8417
2011-06-19;24,7794
2011-06-26;24,4302
2011-07-03;23,369
2011-07-10;25,4151
2011-07-17;26,9753
2011-07-24;27,539
2011-07-31;27,8301
2011-08-07;27,6923
2011-08-14;26,8909
2011-08-21;29,3054
2011-08-28;28,4448
2011-09-04;29,8141
2011-09-11;29,9783
2011-09-18;28,9323
2011-09-25;24,4518
2011-10-02;22,5556
2011-10-09;23,777
2011-10-16;23,0663
2011-10-23;22,4
2011-10-30;25,0053
2011-11-06;24,5658
2011-11-13;24,7762
2011-11-20;23,7377
2011-11-27;23,588
2011-12-04;24,5556
2011-12-11;23,8717
2011-12-18;22,8462
2011-12-25;22,3651
2012-01-01;21,7859
2012-01-08;22,9688
2012-01-15;23,2016
2012-01-22;23,5167
2012-01-29;25,4892
2012-02-05;25,7827
2012-02-12;25,3495
2012-02-19;25,4892
2012-02-26;26,519
2012-03-04;26,644
2012-03-11;25,63
2012-03-18;24,6788
2012-03-25;23,8452
2012-04-01;24,3213
2012-04-08;23,925
2012-04-15;24,5804
2012-04-22;24,1016
2012-04-29;23,5374
2012-05-06;22,7671
2012-05-13;22,0951
2012-05-20;22,4252
2012-05-27;22,4537
2012-06-03;22,206
2012-06-10;22,6102
2012-06-17;22,719
2012-06-24;21,354
2012-07-01;21,5262
2012-07-08;22,0768
2012-07-15;22,532
2012-07-22;22,1251
2012-07-29;22,5319
2012-08-05;22,1761
2012-08-12;22,7221
2012-08-19;22,8229
2012-08-26;24,2572
2012-09-02;24,2665
2012-09-09;25,3841
2012-09-16;26,482
2012-09-23;26,6641
2012-09-30;26,8168
2012-10-07;26,7891
2012-10-14;26,0564
2012-10-21;24,7796
2012-10-28;24,5599
2012-11-04;24,7768
2012-11-11;25,283
2012-11-18;25,3396
2012-11-25;25,8992
2012-12-02;26,3591
2012-12-09;25,406
2012-12-16;24,8434
2012-12-23;22,6388
2012-12-30;22,8773
2013-01-06;22,5382
2013-01-13;23,1472
2013-01-20;23,8388
2013-01-27;23,4909
2013-02-03;23,0425
2013-02-10;23,5048
2013-02-17;22,6577
2013-02-24;21,852
2013-03-03;21,5296
2013-03-10;21,9477
2013-03-17;22,1346
2013-03-24;22,4419
2013-03-31;22,3523
2013-04-07;20,8698
2013-04-14;20,964
2013-04-21;18,0749
2013-04-28;18,4698
2013-05-05;18,4832
2013-05-12;17,9935
2013-05-19;17,5117
2013-05-26;17,2685
2013-06-02;17,3696
2013-06-09;17,0373
2013-06-16;16,285
2013-06-23;15,0394
2013-06-30;14,4322
2013-07-07;15,0035
2013-07-14;15,0883
2013-07-21;14,8075
2013-07-28;15,081
2013-08-04;14,7368
2013-08-11;15,1839
2013-08-18;17,1204
2013-08-25;17,2669
2013-09-01;17,855
2013-09-08;17,5887
2013-09-15;16,3456
2013-09-22;16,7934
2013-09-29;16,0015
2013-10-06;15,9191
2013-10-13;15,8597
2013-10-20;15,967
2013-10-27;16,1898
2013-11-03;16,0944
2013-11-10;16,1699
2013-11-17;15,342
2013-11-24;14,7466
2013-12-01;14,6426
2013-12-08;14,2544
2013-12-15;14,2441
2013-12-22;14,1581
2013-12-29;14,3775
2014-01-05;14,7947
2014-01-12;14,5631
2014-01-19;14,7176
2014-01-26;14,7157
2014-02-02;14,2499
2014-02-09;14,6426
2014-02-16;15,3829
2014-02-23;15,8605
2014-03-02;15,4186
2014-03-09;15,3791
2014-03-16;15,3835
2014-03-23;14,8967
2014-03-30;14,3523
2014-04-06;14,5421
2014-04-13;14,4605
2014-04-20;14,164
2014-04-27;14,2124
2014-05-04;13,8312
2014-05-11;13,9523
2014-05-18;14,1146
2014-05-25;14,2605
2014-06-01;13,9593
2014-06-08;13,9608
2014-06-15;14,4651
2014-06-22;15,1729
2014-06-29;15,4569
2014-07-06;15,5431
2014-07-13;15,744
2014-07-20;15,4847
2014-07-27;15,2119
2014-08-03;15,1836
2014-08-10;15,028
2014-08-17;14,849
2014-08-24;14,687
2014-08-31;14,767
2014-09-07;14,77
2014-09-14;14,4183
2014-09-21;14,3401
2014-09-28;13,7644
2014-10-05;13,4469
2014-10-12;13,6238
2014-10-19;13,5456
2014-10-26;13,5868
2014-11-02;12,8776
2014-11-09;12,4435
2014-11-16;12,3343
2014-11-23;13,1166
2014-11-30;12,7996
2014-12-07;13,2227
2014-12-14;13,7064
2014-12-21;12,9332
2014-12-28;12,9262
