time;BOLD
2;527,22
4;518,48
6;511,33
8;507,51
10;509,94
12;508,36
14;508,75
16;508,83
18;509,42
20;514,42
22;512,27
24;517,85
26;517,01
28;520,6
30;521,95
32;524,53
34;522,83
36;529,1
38;531,01
40;527,99
42;527,31
44;519,46
46;514,21
48;513,1
50;513,19
52;517,75
54;513,06
56;512,11
58;510,79
60;511,81
62;514,55
64;515,6
66;518,31
68;524,65
70;527,27
72;527,58
74;525,11
76;525,61
78;525,38
80;525,61
82;524,11
84;522,15
86;516,18
88;512,2
90;510,79
92;511,72
94;514,72
96;513,15
98;513,2
100;518,01
102;517,79
104;520,51
106;520,61
108;524,19
110;525,49
112;526,43
114;526,75
116;526,43
118;523,65
120;524,75
122;525,43
124;522,91
126;519,86
128;515,07
130;516,62
132;520,3
134;517,56
136;516,19
138;511,67
140;516,79
142;521,21
144;519,29
146;523,33
148;525,54
150;525,64
152;527,25
154;528,4
156;525,65
158;525,23
160;528,02
162;522,84
164;523,58
166;515,08
168;510,31
170;511,47
172;512,21
174;511,78
176;513,76
178;511,24
180;515,1
182;514,54
184;513,94
186;519,37
188;519,73
190;520,36
192;527,33
194;525,01
196;526,12
198;525,33
200;526,57
202;526,82
204;525,31
206;518,76
208;513,83
210;511,6
212;512,38
214;511,32
216;512,53
218;517,23
220;516,22
222;516,36
224;518,13
226;522,15
228;525,51
230;523,98
232;524,81
234;526,32
236;525,07
238;526,46
240;526,82
242;527,65
244;524,3
246;514,91
248;511,51
250;513,36
252;508,95
254;511,8
256;514,57
258;517,09
260;516,18
262;517,25
264;514,14
266;520,99
268;519,41
270;524,01
272;523,71
274;523
276;525,24
278;523,89
280;525,82
282;523,24
284;519,33
286;516,23
288;505,66
290;512,14
292;509,41
294;508,34
296;510
298;515,25
300;516,33
302;514,17
304;515,58
306;517,47
308;523
310;523,23
312;526,85
314;525,44
316;525,94
318;528,97
320;526,01
